AGE,LENGTH,WIDTH,DEPTH
9,36.3,2.4,2.3
9,37.5,2.3,2.1
9,36.1,2.5,2.6
9,38,2.3,2.4
9,39.5,2.3,2.9
9,37.2,2.1,1.7
9,39,2.3,2.5
9,38,2.1,2.6
9,38.5,2.6,2.3
9,37.2,2.1,2.7
9,38.5,2.3,2.7
9,36.5,2.4,2.6
9,39,2.3,2.4
9,39.5,2.4,2.4
9,39.3,2.3,2.2
14,41,2.6,2.7
14,38.5,2.3,2.1
18,37.5,2.5,2.7
18,36.6,2.8,2
18,38,2.4,2.3
18,39.3,2.6,2.6
18,34.5,2.6,2.3
18,35.6,2.1,2.4
29,39,2.5,2.4
29,36.5,2.2,2.3
29,37.2,3,2.6
29,38,2.7,2.7
29,37.5,2.7,3.1
29,35.5,2.7,2.5
29,37.2,2,2.5
29,39,2.6,2.3
29,36,2.4,3.1
29,40.2,2.3,2.3
