Pit #,Max Length,Condyle Width,Facet Width,Min Depth
81,229,84,81,32
81,227,83,78,32
61,226,80,76,32
61,216,82,79,33
61,213,80,75,35
61,214,77,73,31
61,219,77,73,32
61,213,80,76,34
61,226,87,80,37
61,213,86,83,37
61,218,77,73,34
67,225,89,84,34
67,214,81,79,34
67,221,77,70,34
67,218,82,79,39
67,216,77,74,35
67,229,90,82,39
4,231,82,77,34
4,212,81,76,33
4,230,78,77,34
4,211,82,76,32
4,226,82,77,30
4,224,82,77,32
4,226,77,74,33
4,214,77,71,35
4,217,80,77,32
4,223,83,80,37
4,224,84,81,35
4,216,79,77,32
4,220,78,71,31
4,231,82,79,35
4,220,80,78,33
4,219,78,76,30
4,226,76,71,34
4,231,80,73,33
4,212,70,71,32
4,234,80,79,36
4,217,83,77,32
4,229,84,84,40
4,215,77,75,35
4,228,83,78,36
4,228,81,78,33
4,228,84,79,35
4,219,74,70,33
4,214,78,76,36
4,225,81,78,34
4,228,85,80,42
13,229,86,75,33
13,227,79,76,35
13,226,89,81,39
13,240,80,78,33
13,228,94,84,35
13,219,79,74,33
13,224,79,75,35
36,225,84,75,35
3,221,93,88,35
3,218,93,87,33
3,232,79,83,37
3,218,90,83,33
3,223,83,76,33
3,244,83,79,34
3,223,82,76,29
3,219,80,74,32
3,211,75,71,32
3,218,82,78,34
3,214,79,73,32
3,212,78,76,35
1,217,75,72,32
3,223,93,86,34
3,227,96,91,37
3,227,79,76,32
3,235,83,NA,34
3,223,81,80,31
3,215,72,70,29
3,219,78,74,31
3,218,82,78,33
3,226,85,78,35
3,221,77,71,32
3,224,82,76,34
3,220,78,71,30
3,219,81,78,33
3,230,78,73,35
3,228,88,82,31
3,221,83,75,31
3,224,80,80,32
3,224,82,79,34
3,220,91,86,34
3,222,92,93,34
3,221,82,79,35
3,224,91,85,33
3,218,79,79,35
3,222,72,69,32
3,212,81,74,34
3,223,84,79,38
3,232,88,80,36
3,223,83,NA,34
3,234,85,81,40
3,222,78,71,34
3,218,83,79,35
3,217,75,74,32
3,226,94,91,40
60,220,81,75,34
60,227,77,77,36
16,224,81,79,34
16,220,82,79,37
16,230,90,83,40
16,231,80,89,37
77,216,80,76,33
77,216,77,73,33
77,217,83,77,33
77,229,83,78,34
77,230,91,83,34
77,220,80,77,32
77,219,91,92,36
77,225,79,75,33
77,217,78,72,34
,217,85,77,35
,220,78,73,32
,221,81,76,31
